	Methanobacterium sp000499765	Methanobrevibacter_A smithii	Methanosphaera sp900322125	Granulicella sp. WH15	Actinomyces howellii	Actinomyces pacaensis	Arcanobacterium sp. 2701	Mycobacterium sp. MS1601	Tsukamurella tyrosinosolvens	Humibacter sp. WJ7-1	Glutamicibacter arilaitensis	Serinicoccus profundi	Micromonospora echinospora	Nocardioides marinisabuli	Nocardioides sp. S5	Propionibacterium acidifaciens	Allokutzneria albata	Amycolatopsis orientalis	Amycolatopsis sp. AA4	Kitasatospora sp. NA04385	Streptomyces gardneri	Streptomyces olivoreticuli	Nocardiopsis dassonvillei	Bacteroides caccae	Bacteroides cellulosilyticus	Bacteroides sp. A1C1	Bacteroides sp. HF-162	Phocaeicola coprophilus	Phocaeicola vulgatus	Butyricimonas virosa	Porphyromonas asaccharolytica	Prevotella dentalis	Alistipes sp. dk3624	Parabacteroides merdae	Hymenobacter qilianensis	Hymenobacter sp. 5116S-3	Hymenobacter sp. 5317J-9	Larkinella sp. IE-0392	Aequorivita sp. H23M31	Amniculibacterium sp. G2-70	Flavobacterium inviolabile	Flavobacterium sp. KBS0721	Gramella sp. MAR_2010_147	Polaribacter sp. L3A8	Chryseobacterium carnipullorum	Chryseobacterium manosquense	Pedobacter sp. Q8-18	Pedobacter sp. SW-16	Halothece sp. PCC 7418	Tolypothrix tenuis	Leptolyngbya sp. 7M	Deferribacter desulfuricans	Denitrovibrio acetiphilus	Deinococcus irradiatisoli	Deinococcus puniceus	Alicyclobacillus acidocaldarius	Anoxybacillus caldiproteolyticus	Bacillus fonticola	Bacillus pumilus	Bacillus sp. N1-1	Bacillus velezensis	Virgibacillus sp. Bac332	Virgibacillus sp. SK37	Paenibacillus sp. B01	Paenibacillus sp. FSL R5-0912	Paenibacillus sp. N3/727	Staphylococcus muscae	Staphylococcus nepalensis	Gemella morbillorum	Gemella sp. oral taxon 928	Granulicatella elegans	Vagococcus lutrae	Lactobacillus taiwanensis	Limosilactobacillus pontis	Lactococcus cremoris	Lactococcus lactis	Streptococcus agalactiae	Streptococcus anginosus	Streptococcus equi	Streptococcus marmotae	Streptococcus pyogenes	Streptococcus uberis	Clostridium scatologenes	Desulfitobacterium metallireducens	Blautia sp. NBRC 113351	Butyrivibrio fibrisolvens	Cellulosilyticum sp. WCF-2	Coprococcus comes	Coprococcus eutactus	[Clostridium] scindens	Lachnoclostridium phocaeense	[Ruminococcus] gnavus	Caproicibacterium lactatifermentans	Oscillibacter sp. NSJ-62	Filifactor alocis	Caloranaerobacter azorensis	[Clostridium] innocuum	Turicibacter sanguinis	Selenomonas sputigena	Veillonella atypica	Finegoldia magna	Fusobacterium canifelinum	Fusobacterium hwasookii	Fusobacterium nucleatum	Fusobacterium periodonticum	Fusobacterium pseudoperiodonticum	Fusobacterium sp. oral taxon 203	Leptotrichia buccalis	Leptotrichia hofstadii	Leptotrichia sp. oral taxon 212	Aquisphaera giovannonii	Bremerella volcania	Caulobacter soli	Bradyrhizobium lablabi	Pseudochrobactrum algeriensis	Methylorubrum populi	Paracoccus kondratievae	Paracoccus sp. S8-55	Paracoccus zhejiangensis	Mameliella alba	Salipiger sp. CCB-MM3	Sulfitobacter sp. D7	Roseomonas sp. S08	Nitrospirillum amazonense	Sphingomonas profundi	Sphingomonas sp. PAMC26645	Casimicrobium huifangae	Caballeronia zhejiangensis	Cupriavidus campinensis	Pandoraea faecigallinarum	Ralstonia pickettii	Ralstonia sp. 56D2	Massilia lutea	Laribacter hongkongensis	Eikenella corrodens	Neisseria meningitidis	Gallionella capsiferriformans	Desulforapulum autotrophicum	Desulfosediminicola flagellatus	Myxococcus hansupus	Pyxidicoccus sp. SCPEA002	Aliarcobacter trophiarum	Campylobacter concisus	Campylobacter hyointestinalis	Campylobacter rectus	Campylobacter showae	Sulfurovum indicum	Ignatzschineria sp. HR5S32	Sedimenticola thiotaurini	Shewanella piezotolerans	Shewanella woodyi	Citrobacter freundii	Citrobacter pasteurii	Citrobacter sp. R56	Pantoea cypripedii	Providencia alcalifaciens	Providencia sp. R33	Legionella spiritensis	Acinetobacter towneri	Halomonas sp. THAF12	Pseudomonas alkylphenolica	Pseudomonas arsenicoxydans	Pseudomonas palleroniana	Beggiatoa leptomitoformis	Vibrio harveyi	Rhodanobacter glycinis	Lysobacter oculi	Hydrogenophilus thermoluteolus	Leptospira tipperaryensis	Sphaerochaeta globosa	Treponema medium	Treponema primitia	Spiroplasma diminutum	Mycoplasma nasistruthionis	Thermodesulfatator indicus	Thermodesulfobacterium geofontis	Candida albicans	Pichia kudriavzevii	Fusarium verticillioides	Pyricularia grisea	Sporisorium graminicola	Human gammaherpesvirus 4	Human betaherpesvirus 6B	Human betaherpesvirus 7	Human immunodeficiency virus 1
D58	0.207958532	0.016529789	0.129187203	0.304975557	0.201703684	0.109452199	-0.066119355	0.120636884	0.419604667	-0.031827539	0.238977577	0.125191637	0.023943689	0.162149331	0.320529717	0.128249858	0.125191637	0.107524422	0.132713334	0.363466779	0.234253782	0.039659623	0.162149331	-0.197428095	-0.178817436	-0.043222202	-0.12209011	0.134218589	-0.268158769	-0.042405497	-0.144571037	0.043394368	0.233387171	-0.12871484	0.176389067	0.305830827	0.148799551	0.113152655	-0.081655034	0.260450241	0.359775572	0.021234355	0.193134868	0.29258224	0.020752526	-0.041679024	0.156770288	0.163307942	0.202016062	-0.129003021	0.039592837	-0.066119355	0.291701557	0.494044022	0.125191637	0.232954584	0.047197863	0.220762659	0.171194377	-0.078259715	0.22921243	0.133955316	-0.031493044	0.34536038	0.34584301	0.132713334	0.082497504	0.055933281	-0.074571854	0.165747283	0.088616215	0.242159976	0.298928202	0.141605524	0.152191852	0.208374936	0.037438774	-0.106888781	0.101610537	-0.081655034	0.16457297	0.308314408	0.2373464	0.353271787	0.142614015	0.031997952	0.182025075	0.057284004	0.128462802	0.010656411	0.129779497	0.18880268	0.099802263	-0.016832424	-0.000940613	0.210578808	0.086953201	0.18697495	-0.058877218	0.044406828	0.077010628	-0.053580666	-0.068176968	-0.153333683	0.042050096	-0.111628687	-0.042822944	0.210818752	0.164109186	0.180697817	0.219098619	0.133369739	0.207493993	0.132203388	-0.066119355	-0.132817157	0.042361938	0.31306745	0.044007668	0.125025696	0.256169094	0	-0.048165832	0.253303841	0.18937698	0.088954798	0.188649115	0.145280746	0.082497504	0.198667756	0.037490845	0.060388275	-0.081655034	0.17544768	0.149633002	0.224787521	-0.066119355	0.050660778	0.143103834	0.147756728	0.313826344	-0.066119355	0.132338058	0.19820567	0.04388662	0.012861443	0.243236737	0.25357458	-0.013762582	0.224156372	0.156883902	-0.210269036	0.51099267	0.282421006	0.440513269	-0.066565828	0.220207979	0.079085675	-0.17634247	-0.000537271	0.328010358	0.346826729	0.197893525	0.177945619	0.515796288	0.433317741	0.125191637	-0.044090262	0.166551575	0.229667747	0.232063601	0.312173005	-0.081655034	-0.004560382	0.18937698	0.3268727	-0.094612801	-0.081655034	0.163310068	0.090134027	0.333103151	-0.11842419	-0.078081239	-0.186412813	0.030902028
D83	-0.033888889	-0.06119081	0.074353697	0.165369878	0.134259137	0.241298324	-0.033888889	-0.081087202	0.152948534	0.144613464	0.152948534	-0.041851564	-0.060697269	0.22669493	-0.071290195	0.297986765	-0.041851564	0.144613464	0.362942249	0.396928499	0.152948534	0.237813888	0.22669493	-0.182225299	-0.219453653	-0.094631969	-0.16734347	-0.115278327	-0.174490386	-0.132214457	-0.112433478	-0.044954013	-0.048147261	-0.156734726	0.174135066	0.694622659	-0.07626589	-0.081087202	-0.041851564	-0.1037511	0.18937698	-0.066119355	0.109819972	0.298779614	0.0821339	0.044749883	0.081017965	0.081017965	0.102236247	-0.066119355	0.095378609	-0.033888889	0.094827824	0.217094462	-0.041851564	-0.1037511	0.109739252	0.227863517	-0.002193604	0.094827824	0.016430881	0.010269301	0.158186508	0.217249308	0.227863517	0.362942249	-0.048731434	0.253097696	-0.164964828	0.121844731	0.073553773	0.274714581	0.310762754	0.18937698	0.029980734	0.016430881	-0.053056407	-0.098428766	-0.011241848	-0.041851564	0.164944337	0.444979372	0.126283347	0.24197251	0.050251648	-0.113751848	-0.011120647	-0.023997665	-0.010161786	-0.134758259	-0.028020302	0.050563834	0.039466376	-0.011355604	-0.021136401	0.056127644	0.039767559	-0.019601454	-0.025310616	0.000710467	0.005623921	-0.159542858	-0.133267891	-0.188752842	-0.022930183	-0.177721359	-0.14662106	0.01994302	0.013678197	-0.03413146	0.267665004	0.069734346	0.482777778	-0.041851564	-0.033888889	-0.108108628	-0.125285467	-0.048731434	0.109819972	0.160589015	-0.07626589	0.182315908	-0.081087202	0.161283604	-0.033888889	0.298779614	0.18937698	0.165369878	-0.048731434	0.466111111	0.073980061	0.237041459	-0.041851564	0.102236247	-0.021123897	0.274714581	-0.033888889	-0.060697269	0.056127644	-0.041851564	0.350810248	-0.033888889	-0.066611091	0.217913145	0.01994302	-0.053056407	0.144613464	-0.081087202	0.165369878	0.150210718	-0.066119355	-0.16388737	-0.033888889	-0.07626589	0.186288814	-0.028362762	0.227863517	-0.090382769	-0.090382769	0.069734346	0.207493993	0.376664073	-0.033888889	-0.066119355	0.18937698	0.454913251	-0.041851564	-0.081087202	0.198667756	0.062930995	0.095120897	-0.094899921	-0.041851564	-0.071290195	-0.033888889	0.310762754	0.039351269	-0.041851564	-0.041851564	-0.025668307	0.217249308	-0.060697269	-0.105276281	-0.049506859	-0.066119355
D109	0.163515418	0.184123618	0.287009648	0.435755289	0.58066429	0.191347155	0.171186196	0.049005594	0.48710001	0.132732115	0.263769914	0.278668085	0.120444155	0.199548941	0.458279286	0.346730387	0.291509447	0.266263436	0.501655182	0.44826965	0.236724787	0.515284213	0.216368066	-0.301429863	-0.176991653	-0.040851791	-0.109319609	0.14018098	-0.283722942	-0.068308137	-0.046906757	0.128975939	0.273141369	-0.167042881	0.440260088	0.548394744	0.275598161	0.335452776	0.468078178	0.319932365	0.257774472	0.36143302	0.310738452	0.403896497	0.266326385	0.044964502	0.335291313	0.323890032	0.39421843	0.195771765	0.316399335	0.109819972	0.572034412	0.358083448	0.109151579	0.392707128	0.225877565	0.548562826	0.273371864	0.225665473	0.380665182	0.336662291	0.300579881	0.550470008	0.56237803	0.292351504	0.23522329	0.318951552	0.041471373	0.311277716	0.203244229	0.317956642	0.588471865	0.208671179	0.258453378	0.434357217	0.266115896	-0.05295059	0.238046124	0.487129707	0.321306148	0.657566228	0.588495396	0.534864499	0.285565148	0.146671495	0.308996803	0.209418163	0.279387022	0.129646583	0.219753709	0.148032549	0.228396492	0.099895113	0.197788193	0.465116582	0.063389525	0.160503947	0.109352894	0.053544644	0.214335477	0.101889285	0.0254787	-0.103102301	0.109068353	-0.091646969	0.070933387	0.337233451	0.4205867	0.343537962	0.708162779	0.345373525	0.389675524	0.30435081	0.155972487	0.029874374	0.12014538	0.368231536	0.163077376	0.335410731	0.265240453	0.148187727	0.203547581	0.274703051	-0.085784868	0.398197457	0.491246733	0.411281454	0.206728089	0.382260438	0.002020589	0.120873962	0.430817176	0.275106158	0.116578856	0.343741392	0.171186196	0.558027385	0.37444168	0.324875938	0.507678729	0.171186196	0.227799544	0.391329012	0.099572171	0.052406345	0.377800611	0.460444573	0.17172026	0.35362339	0.218078486	-0.119965188	0.19560484	0.208113215	0.553530004	0.062879815	0.282715557	0.25021533	-0.052338932	0.233458517	0.210239063	0.305613894	0.171186196	0.397066759	0.527593147	0.683183072	0.291509447	-0.007831106	0.469225082	0.443145858	0.356600047	0.37065181	0.265826723	0.293417078	0.179751898	0.420901698	-0.112222298	0.265826723	0.416923243	0.105384046	0.379534959	-0.153646441	-0.158277241	-0.151544189	0.080567885
D295	-0.033888889	0.204483574	0.068562329	0.165369878	0.365025338	0.166056936	0.482777778	0.133195699	0.152948534	0.144613464	0.152948534	-0.041851564	0.24776426	0.207493993	0.182315908	0.248775861	0.390614594	0.38146837	0.809587625	0.380445199	0.152948534	0.525711315	0.207493993	-0.19816787	-0.129100469	-0.083925433	-0.08959578	-0.021727852	-0.13729548	-0.062381657	0.08587012	0.104044509	0.199630344	-0.124839037	0.418683808	0.669857504	0.169201921	0.133195699	0.376435376	0.061456936	0.18937698	0.207493993	0.319871444	0.670256942	0.262456203	0.209571234	0.277639112	0.270219446	0.293620527	0.197893525	0.28458009	-0.033888889	0.301522845	0.207493993	0.390614594	0.089577452	0.298940734	0.536325046	0.152355769	0.293867474	0.169238073	0.156709526	0.397194359	0.529264529	0.536325046	0.795408406	0.322745893	0.593743776	-0.068273258	0.115662756	0.039351269	0.274714581	0.669857504	0.472590797	0.214542982	0.15650414	0.167015592	-0.125054349	-0.000178442	0.390614594	0.073737658	0.463094094	0.381774498	0.256032768	0.01277877	0.070701149	0.132266808	0.183239313	0.091283843	-0.097554007	0.068494071	-0.188543111	0.142857165	0.084650869	0.055949296	0.235395938	-0.167469419	0.092488415	0.169371789	0.006216588	0.011247842	-0.055298227	-0.026352907	-0.156836452	0.10215249	-0.121421308	-0.036342794	0.172073807	0.165808984	0.105951743	0.596690635	0.24197251	0.482777778	0.376435376	-0.033888889	0.056712723	0.008420826	0.310363316	0.319871444	0.151976109	0.160589015	0.173258547	0.133195699	0.39813851	-0.033888889	0.670256942	0.462990328	0.437090703	0.322745893	0.466111111	0.120311008	0.230173903	-0.041851564	0.102236247	-0.038822298	0.604191937	0.482777778	0.237482209	0.228365808	0.404793812	0.36666319	0.482777778	0.045395597	0.516092623	0.159126506	0.051188224	0.398694181	0.133195699	0.418975981	0.372735269	-0.066119355	-0.069112481	-0.033888889	0.160589015	0.431756625	0.087876491	0.515760944	-0.090382769	0.10100151	0.234942381	-0.066119355	0.823309449	0.482777778	0.217094462	0.18937698	0.418683808	0.390614594	0.133195699	0.462680636	0.242199288	0.247251684	0.101721226	0.376435376	0.173258547	0.5	0.669857504	0.027950434	0.376435376	-0.041851564	0.106951278	0.481262187	-0.060697269	-0.105276281	-0.055298227	-0.066119355
D431	-0.048731434	-0.012693374	0.239224296	0.282122587	0.42282384	0.215300056	-0.048731434	-0.116601511	0.220335958	0.226428657	0.055433571	0.23069604	0.141891668	0.122243265	0.086548403	0.322596413	-0.060181576	0.055433571	0.23069604	0.220969421	0.061126748	0.371064597	0.312733452	-0.22074601	-0.104655584	-0.02247283	-0.076108136	-0.045874342	-0.17241034	-0.104030995	-0.047084254	-0.05447886	0.000820964	-0.10751211	0.26951845	0.490522688	0.049141111	0.20969157	0.561530275	-0.01467459	-0.095078095	0.286236278	0.039341762	-0.07007467	0.109072987	-0.035997376	0.162534848	0.146875058	0.158199145	0.298705537	0.290308405	0.322745893	0.354572046	0.115117974	-0.060181576	0.244250405	0.005506739	0.328139386	0.160155031	0.167964524	0.169673007	0.139400626	0.187518168	0.299373533	0.385373	-0.060181576	0.197013211	0.150242128	-0.086214909	0.180371557	0.190383509	0.135088396	0.196438828	-0.095078095	0.039748282	0.244246435	0.103157922	0.033346715	0.168839829	0.221159069	0.331849033	0.450807946	0.222116321	0.377952229	0.248442721	0.012456676	0.114202866	-0.000616216	0.11937598	0.114393854	0.057454181	-0.003204153	0.128024446	0.050842865	0.151712854	0.314036235	0.124722076	-0.026818162	0.115345462	-0.016218462	0.198263598	0.073070195	-0.039357254	-0.00727905	-0.077550397	-0.095010811	0.007534855	0.128748908	0.192785537	0.175582851	0.328139386	0.100928572	0.298779614	0.250592134	0.322745893	0.092223366	0.040461622	0.20591614	0.044765042	0.420096572	0.043847455	0.085708128	0.222307471	0.079205084	-0.048731434	0.188110281	0.326093372	0.288004517	0.20591614	0.322745893	-0.069443549	0.125831535	0.561530275	0.16388082	0.087295854	0.165136822	-0.048731434	0.335293588	0.101010097	-0.060181576	0.550049304	-0.048731434	0.058350372	0.134498993	-0.014113583	-0.030222048	0.232421475	0.199369469	0.080246335	0.038612304	0.318968081	0.010391162	-0.048731434	-0.109668577	0.238514174	0.073689496	-0.087281261	0.295447113	-0.129968321	0.110711632	0.107992684	-0.060181576	-0.048731434	0.306053492	0.10198072	0.711293432	-0.060181576	-0.116601511	0.318968081	0.096444669	0.097368708	-0.004818397	0.250756565	0.080246335	-0.048731434	-0.07007467	-0.054470837	0.250756565	0.260951258	-0.002097183	0.095412093	-0.087281261	-0.147129563	-0.000940241	-0.095078095
D485	0.24776426	-0.110824812	0.337838651	0.207576173	0.455697064	0.040754747	0.227863517	-0.02555459	0.166371715	0.035828804	0.193575066	0.183096457	0.26	0.355919697	0.176178096	0.491065845	0.424630858	0.152521228	0.17449461	0.241736896	0.010201257	0.427128713	0.192289083	-0.307853292	-0.15681304	-0.133304991	-0.146634683	-0.09255428	-0.31324029	-0.093108104	0.000647303	0.075057913	0.183149893	-0.239975664	0.17635253	0.320269764	0.000497622	0.249355656	0.425177007	0.292039986	-0.11842419	0.395671768	0.093805999	0.349363518	0.189892066	0.143238431	0.191834854	0.056871711	0.104972397	0.389847627	0.353947808	0.257714632	0.209207629	0.367660425	0.166575449	0.135324045	0.18026046	0.279207921	0.153226773	0.218495917	0.319670422	0.283252273	0.426333094	0.055837791	0.456633663	0.166575449	0.120190589	0.091846012	0.105832878	0.372411302	0.274457775	0.098298893	0.34244779	0.208929485	0.158680559	0.304710778	0.3283582	0.150140915	0.231817703	0.424630858	0.386436547	0.49103103	0.268720003	0.249865458	0.184235126	-0.008880851	0.245594394	-0.042060394	0.067146254	0.196528092	0.066914982	0.169255992	0.255203019	-0.013456378	0.277827944	0.328934235	-0.04185572	-0.00693061	0.058739761	-0.027782794	0.20503061	0.067924641	0.039913943	-0.014649656	-0.001468866	-0.038310892	0.121919055	0.344725377	0.181962636	0.259910302	0.431485149	0.40197808	-0.060697269	0.158656288	-0.060697269	0.246666365	0.190551529	0.349840465	0.247452439	0.28049309	0.147379131	0.297409558	0.269989796	0.157580388	-0.060697269	0.120190589	0.220762659	0.185946387	0.356756193	-0.060697269	0.000223069	0.239788804	0.433232705	-0.033614756	0.140202834	0.085608226	0.227863517	0.426336634	0.277959245	0.432686556	0.263023166	0.227863517	0.10287768	0.438217822	-0.025869988	-0.022418478	0.005307971	0.112217981	0.013954701	0.121900155	0.230931793	-0.089824383	-0.060697269	0.324947347	0.162390736	0.092587305	0.267722772	0.252847839	0.060005289	0.401707296	0.192751317	0.17449461	0.227863517	0.03975207	0.044929084	0.517370528	0.424630858	0.270624693	0.378384239	0.311265613	0.203843035	0.188405404	0.425177007	0.317295007	0.237482209	0.113274861	-0.061917674	0.425177007	0.441971089	0.015905027	0.227326373	-0.108712871	-0.175922164	0.044279282	0.034112823
D602	-0.060697269	0.081660388	0.204331597	0.17914347	0.405540229	0.241630368	0.227863517	-0.02555459	0.444459631	0.149867242	0.160483184	0.183232994	0.235445545	0.203567578	0.19815675	0.253385644	0.166575449	0.287293928	0.698524589	0.270148521	0.175826538	0.425544554	0.372652546	-0.357797576	-0.225188439	-0.09144743	-0.131454895	-0.065271873	-0.298913717	-0.08038333	-0.090622385	-0.055758914	0.113730175	-0.136573181	0.473413221	0.571143772	0.146466824	0.094440875	0.391861917	-0.093555693	0.049366524	0.192011743	0.092126803	0.348409624	0.274211367	-0.001190347	0.165399511	0.157254567	0.194906614	0.176573149	0.287216429	0.217913145	0.464119533	0.39030986	0.166575449	0.126252799	0.070089382	0.627722772	0.197397039	0.186502925	0.244626963	0.218018416	0.393318469	0.405286222	0.43049505	0.432413482	0.120190589	0.294143842	-0.105936331	0.201444988	0.133166912	0.308125085	0.585929122	0.207542785	0.178483893	0.19398489	0.157598552	-0.049534195	0.114630445	0.416302086	0.26512621	0.485274716	0.271418314	0.471027868	0.144748806	0.033538273	0.219507334	0.151151343	0.114549659	-0.069296624	0.056382068	-0.136816965	0.166484847	0.079197462	0.067866368	0.40048877	0.002046734	0.09441536	0.182127344	-0.02205657	0.111017631	-0.013049562	-0.093502107	-0.11729969	-0.013454813	-0.199195988	-0.055678664	0.22185852	0.275530952	0.182074973	0.462574257	0.227187342	0.587071942	0.158656288	-0.060697269	-0.008993733	0.019006105	0.564466517	0.218219162	0.57251443	0.293845955	0.155420479	0.249990552	0.293348332	-0.060697269	0.577582553	0.365256812	0.494170838	0.327185493	0.267665004	0.014722582	0.121415401	0.158246677	0.078876731	0.065443138	0.518811662	0.227863517	0.22970297	0.122394134	0.17449461	0.678089904	0.227863517	0.035951877	0.407128713	0.047314025	0.01182268	0.458973614	0.259672726	0.16937518	0.268720003	0.034297716	-0.045188744	-0.060697269	-0.004312726	0.45598788	0.035244021	0.241584158	0.2059641	-0.054992562	0.231249094	0.039659623	0.449344101	0.227863517	0.203105344	0.049366524	0.650812353	0.166575449	-0.02555459	0.355642357	0.237206331	0.194866461	0.079306029	0.391861917	0.008896122	0.237482209	0.349363518	-0.119444024	0.391861917	0.432413482	0.056770499	0.38420838	-0.108712871	-0.114140613	-0.105177236	-0.11842419
D695	0.23583086	0.285210526	0.237650301	0.446754581	0.667874837	0.438654424	0.482191265	-0.052241402	0.408143655	0.394127148	0.264687414	0.163310068	0.19765099	0.156365991	0.294063214	0.480984373	0.132203388	0.521321143	0.606070307	0.345534269	0.124715939	0.379586046	0.482649978	-0.25390438	-0.230283599	-0.106370899	-0.163309081	-0.022806346	-0.238825171	-0.041922519	0.079296488	0.116261182	0.156634617	-0.233770621	0.265153648	0.714978366	0.249431878	0.226601714	0.394251667	0.199074878	0.161113509	0.497755719	0.435871902	0.720767664	0.320950777	0.170791379	0.367709713	0.127751107	0.548437472	0.332757877	0.491558241	-0.066119355	0.421377284	0.488778593	0.377168491	0.338291395	0.387923074	0.547376761	0.269297649	0.290875597	0.337063633	0.315081222	0.352647992	0.673111782	0.58296873	0.599058556	0.537180102	0.621542265	-0.042985071	0.254401515	0.215877094	0.639316395	0.728338286	0.151100561	0.370700947	0.353435949	0.237650301	0.025567126	0.127324021	0.369136848	0.3025457	0.586742026	0.646681871	0.545931012	0.307801764	0.150526951	0.248762116	0.230234877	0.275359729	0.139393496	0.277878537	0.047248444	0.31761134	0.229371755	0.238024556	0.34480186	0.085328801	0.194984373	0.202728584	0.040941412	0.203423346	0.11455536	-0.029232785	-0.147020506	0.1705045	-0.048426265	0.046708631	0.250165377	0.328131064	0.227218863	0.759634326	0.302262603	0.5097539	0.394251667	0.538864998	0.091138133	-0.002118097	0.082497504	0.167621111	0.373295985	0.24610199	0.260837572	0.214078598	0.237893427	0.22669493	0.713865039	0.478075097	0.438692477	0.0886208	0.529574222	0.08674965	0.281009243	0.187404996	0.298171577	0.080942914	0.634998386	0.482191265	0.57658991	0.301251268	0.621368675	0.581792065	0.482191265	0.15103323	0.548486121	0.048426616	0.104141236	0.548579765	0.352647992	0.423301187	0.209336116	0.374363401	-0.058177102	-0.066119355	0.256478851	0.390022867	0.072997309	0.356936611	0.330315189	-0.081701215	0.295309678	0.011221407	0.368626902	0.18937698	0.530384117	0.341562365	0.774369178	0.132203388	0.087884118	0.5	0.438761158	0.395241506	0.269945093	0.125191637	0.288281301	0.197893525	0.490086385	0.056890687	0.125191637	-0.081655034	0.202977709	0.317306862	-0.11842419	-0.210499423	0.075866891	-0.129003021
D702	0.207958532	0.230748215	0.131738664	0.452617929	0.500480045	0.143418179	0.226540084	0.13197438	0.668726787	0.114803713	0.12456106	0.171086738	0.213921605	0.025981873	0.157740361	0.199706962	0.163310068	0.393352755	0.653495245	0.103297184	0.115732984	0.376535306	0.191497626	-0.27473658	-0.109479088	-0.024643394	-0.02988978	0.142125109	-0.195159196	-0.027722956	-0.107038171	0.049225815	0.270888246	-0.129049413	0.611905563	0.312065456	0.275064275	0.344570952	0.369136848	0.131852737	0.203754855	0.330513595	0.17809743	0.515915563	0.219522809	-0.030935098	0.2389913	0.246329484	0.304159788	0.155848079	0.36831011	0.18937698	0.648103317	0.346309883	0.163310068	0.32539688	0.161973727	0.556713875	0.350837308	0.147365039	0.421100557	0.261613587	0.348053712	0.561976694	0.551629308	0.39272183	0.11534064	0.260335782	-0.097803112	0.148349933	0.065911193	0.440436929	0.747264838	0.176219249	0.234036457	0.361679353	0.177092172	-0.100664574	0.122847786	0.407765225	0.138741523	0.298053548	0.365689817	0.413351378	0.19122696	0.137405839	0.227037604	0.210742071	0.190389938	0.078943454	0.179627937	-0.029476532	0.16921196	0.081764341	0.064407227	0.337406477	-0.016291781	0.186656694	0.120565691	-0.02925801	0.073319377	0.007446098	-0.057701476	-0.152185833	0.029212885	-0.124669309	-0.029397228	0.242074873	0.303219295	0.282985163	0.585927024	0.291896424	0.528645144	0.155278425	-0.066119355	-0.032664006	0.082205057	0.501219652	0.17809743	0.384060043	0.388164324	-0.000570048	0.224378676	0.413332086	-0.066119355	0.536623439	0.32032801	0.422731139	0.305162831	0.217249308	0.062901307	-0.019264971	0.132203388	0.192242201	0.004985999	0.478395242	0.226540084	0.3878138	0.351375535	0.400753473	0.478988726	0.226540084	0.157101414	0.529996786	0.000582051	0.022182083	0.397766793	0.342347914	0.138684479	0.387697897	0.166378938	-0.088027403	0.255496335	0.303716804	0.581181696	0.096257832	0.394007727	0.291908047	-0.067935214	0.299228599	0.047388865	0.408530143	0.226540084	0.367716875	0.337332758	0.599201642	0.163310068	-0.036828336	0.465990505	0.306813608	0.229968219	0.321445801	0.369136848	0.133961226	0.236295398	0.312065456	-0.168724453	0.369136848	0.360850232	0.094903596	0.346655158	-0.11842419	-0.047338626	-0.130176545	-0.129003021
D886	-0.094899921	-0.151970228	0.253809279	0.094971737	0.467255664	0.136763544	0.13846054	0.117458189	0.16772538	0.274943941	0.292659093	0.431745813	0.233202593	0.296562687	0.548872445	0.254558645	0.473816891	0.176882198	0.380216133	0.35094285	0.31055379	0.44347074	0.276883012	-0.372368908	-0.357682455	-0.109176858	-0.025577819	-0.030682551	-0.308781298	-0.147515112	-0.018473898	-0.047524403	0.185619096	-0.268435135	0.194097308	0.450520097	0.101263637	0.049422924	0.413912406	0.136341043	0.037124538	0.271946416	0.136016739	0.153586397	0.28924375	0.150749308	0.049623634	0.037559291	0.16985121	0.274814979	0.320065993	0.102558931	0.271453405	0.322579884	0.284497041	0.092278119	0.049572077	0.596009814	0.249664226	0.166340349	0.270319414	0.164890418	0.331986896	0.40246602	0.473049746	0.220552945	0.360519329	0.23887772	-0.047927481	0.224405698	0.104888558	0.074930617	0.29263156	0.291759512	0.095727033	0.327878425	0.291798174	-0.008880631	0.18944235	0.415685894	0.334589746	0.435649016	0.241845896	0.241613329	0.012052232	-0.044445119	0.375265905	0.012037151	0.031980885	-0.060678603	0.084334148	-0.060256417	0.175496832	-0.038767087	0.05792621	0.447321725	-0.169480136	0.115765973	0.220996587	-0.069595624	0.123254954	-0.054609036	-0.156317986	-0.088452208	-0.096413362	-0.239496312	-0.056311991	0.279819526	0.271947423	0.241008696	0.448829256	0.153365355	0.269980102	0.461993637	0.116560558	0.151846881	0.254967395	0.545683433	0.222848239	0.285956063	0.221349623	0.115552094	0.260229163	0.189989016	0.160001506	0.289620062	0.259871768	0.356159749	0.355184675	0.292478444	-0.137307319	0.22352319	0.402286206	0.172564148	0.115356037	0.396616176	0.13846054	0.327798253	0.150678591	0.084536264	0.523660314	0.13846054	0.098125759	0.180617695	0.010526126	-0.080082522	0.418071594	0.161784195	0.102209477	0.247114621	0.173114424	0.061864928	0.160001506	0.117243183	0.286614396	0.028642694	0.200694266	0.278368738	-0.082292459	0.152583751	0.165909662	0.438150076	0.40185868	0.293560703	0.15350146	0.559194092	0.473816891	0.186008873	0.255268726	0.252213833	0.351905499	0.288229532	0.237006973	0.130027574	0.401140648	0.152209712	-0.066307948	0.43253403	0.438150076	0.001298525	0.397062448	-0.018719081	-0.13243367	-0.039598594	-0.073248415
