Name	shannon	simpson	group
T10	3.371609235	0.920569619	C4
T11	3.425351927	0.914400975	C2
T12	3.647459499	0.937131705	C2
T13	3.620754087	0.922560634	C4
T14	1.718292064	0.534776021	C3
T15	2.453362463	0.810725692	C1
T16	2.358458731	0.737785786	C3
T2	2.02681365	0.70800668	C2
T21	3.591187393	0.928938237	C1
T22	2.846036379	0.848730688	C2
T23	3.977987202	0.954208036	C2
T26	3.151117275	0.871659864	C2
T27	2.627234354	0.830004598	C2
T28	3.537965005	0.931577472	C2
T29	2.896473615	0.875681539	C1
T3	2.619788362	0.805055293	C1
T30	3.989757747	0.955931295	C1
T32	3.046220547	0.901428204	C2
T33	2.904871115	0.800481899	C1
T34	0.200843723	0.04910402	C1
T35	2.147299761	0.680769429	C1
T36	2.525736014	0.822565714	C1
T37	3.943357942	0.951700071	C1
T38	4.033439703	0.954363318	C1
T39	3.525735024	0.908867812	C1
T4	3.392936885	0.93983099	C1
T42	2.164560151	0.615021668	C1
T43	2.898918783	0.895867862	C2
T44	1.447233942	0.464615217	C2
T45	2.893643408	0.865225298	C1
T46	2.701649096	0.840510322	C2
T47	1.313260663	0.399188982	C1
T48	3.000232264	0.886711573	C2
T5	2.050498922	0.696720177	C1
T50	3.07138769	0.887880875	C3
T51	3.229608664	0.911958785	C3
T52	3.804893002	0.944864242	C2
T53	2.853396666	0.854626592	C1
T55	4.133249143	0.960738482	C1
T57	3.716912896	0.935420912	C1
T58	2.125392018	0.766922912	C3
T59	3.075502015	0.809957614	C3
T6	0.608323716	0.169542175	C3
T60	3.222499277	0.88925648	C3
T62	3.190387923	0.902934022	C1
T63	2.279304101	0.678683117	C2
T64	2.539833283	0.785855362	C1
T65	3.03363954	0.842188065	C1
T66	2.841064577	0.832693236	C1
T67	4.269812325	0.965824096	C1
T68	1.130585366	0.323965072	C1
T69	0	1	C4
T7	2.981715389	0.896604012	C1
T70	3.01822334	0.895343413	C2
T71	3.065939626	0.851663818	C4
T72	3.205494138	0.889873364	C2
T73	3.324194303	0.917681641	C1
T74	3.588440248	0.916237385	C4
T75	4.534556409	0.97364339	C4
T76	4.084385396	0.95113754	C2
T8	2.639287895	0.818024289	C1
T9	2.955042463	0.858488832	C1
